Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							2	1,3,7-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,7-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,7-triene $$ .alpha.-OCIMENE $$ 1,3,7-OCTATRIENE, 3,7-DIMETHYL- $$ 2,6-DIMETHYL-1,5,7-OCTATRIENE $$ 3,7-DIMETHYL-1,3,7-OCTATRIENE $$ CIS-OCIMENE	97	136,125	006874-10-8	C:\Database\W10N11_Full.L	48752
							3	.DELTA. 3 CARENE $$ (+)-3-CAREN $$ (+-)-3-CARENE $$ (+-)-DELTA3-CARENE $$ .delta.(SUP3)-CARENE $$ 2-ACETYL-5-CHLOROMETHYL-ISOXAZOLIDIN-3-ONE $$ 3,7,7-trimethyl-3-norcarene (?) $$ 3,7,7-trimethyl-bicyclo -[4.1.0]- hept-3-ene $$ 3-carene $$ 3-KAREN	93	136,125	013466-78-9	C:\Database\W10N11_Full.L	48570
11	7,639	1565	190020724	11207033	11214168	0,027	1	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	98	136,125	003779-61-1	C:\Database\W10N11_Full.L	48227
							2	.beta.-Ocimene $$ 1,3,6-Octatriene, 3,7-dimethyl- $$ Ocimene $$ 3,7-Dimethyl-1,3,6-octatriene $$ beta-Ocimene	97	136,125	013877-91-3	C:\Database\W10N11_Full.L	48225
							3	1,3,6-Octatriene, 3,7-dimethyl-, (Z)- $$ .beta.-cis-Ocimene $$ cis-.beta.-Ocimene $$ cis-3,7-Dimethyl-1,3,6-octatriene $$ Ocimene, cis-.beta.- $$ (Z)-Ocimene $$ cis-Ocimene $$ (3Z)-3,7-Dimethyl-1,3,6-octatriene $$ .beta.-Ocimene, (Z)-	96	136,125	003338-55-4	C:\Database\W10N11_Full.L	48238
12	8,049	1651	641567403	22173325	22185364	0,039	1	1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone aceto-benzene acetyl-benzenebenzoyl methide hypnonemethyl phenyl ketone $$ Ethanone, 1-phenyl- $$ .alpha.-Acetophenone $$ 1-Phenyl-1-ethanone $$ aceto-benzene	97	120,058	000098-86-2	C:\Database\W10N11_Full.L	27501
13	8,192	1681	651974	30345	51598	0,031	1	1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone aceto-benzene acetyl-benzenebenzoyl methide hypnonemethyl phenyl ketone $$ Ethanone, 1-phenyl- $$ .alpha.-Acetophenone $$ 1-Phenyl-1-ethanone $$ aceto-benzene	70	120,058	000098-86-2	C:\Database\W10N11_Full.L	27485
							2	Benzene, 1-ethyl-3-methyl- $$ 1,3-METHYLETHYLBENZENE $$ 1-ethyl-3-methyl-benzene $$ 1-Methyl-3-ethylbenzene $$ 3-ethyl-toluene $$ 3-ETHYLMETHYLBENZENE $$ BENZENE, 3-ETHYL-1-METHYL- $$ m-ethyl-toluene $$ m-Ethylmethylbenzene $$ m-Methylethylbenzene	30	120,094	000620-14-4	C:\Database\W10N11_Full.L	27837
14	8,601	1767	247996593	14095998	14104729	0,027	1	Benzoic acid, methyl ester $$ Methyl benzoate $$ Clorius $$ Methyl benzenecarboxylate $$ Niobe oil $$ Oil of Niobe $$ Essence of niobe $$ Methylester kyseliny benzoove $$ Oxidate le $$ UN 2938 $$ Methyl ester of benzoic acid $$ Oniobe oil	95	136,052	000093-58-3	C:\Database\W10N11_Full.L	46844
							2	Benzoic acid, hydrazide $$ Benzhydrazide $$ Benzohydrazide $$ Benzohydrazine $$ Benzoic hydrazide $$ Benzoyl hydrazide $$ Benzoylhydrazine $$ Hydrazine, benzoyl- $$ NSC 644 $$ Hydrazid kyseliny benzoove $$ Benzenecarboxylic acid hydrazide	91	136,064	000613-94-5	C:\Database\W10N11_Full.L	46615
							3	Vinyl benzoate $$ Benzoic acid vinyl ester $$ Benzoic acid, ethenyl ester $$ Vinylester kyseliny benzoove	50	148,052	000769-78-8	C:\Database\W10N11_Full.L	67975
15	8,682	1784	111860393	6882443	6891361	0,026	1	LINALOOL L $$ (+-)-LINALOOL $$ (.+-.)-LINALOOL $$ (1)-3,7-DIMETHYL-1,6-OCTADIEN-3-OL $$ .beta.-LINALOOL $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, (-)- $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, (.+-.)- $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, (.+/-.)- $$ LINALOL	94	154,136	000078-70-6	C:\Database\W10N11_Full.L	81917
							2	VETIVEROL $$ 1,2,3,3A,4,5,6,8A-OCTAHYDRO-2-ISOPROPYLIDENE-4,8-DIMETHYLAZULEN-6-OL $$ 2-isopropylidene-4,8-dimethyl-3,3a,4,5,6,8a-hexahydro-1H-azulen-6-ol $$ 4,8-dimethyl-2-(1-methylethylidene)-1,2,3,3a,4,5,6,8a-octahydro-6-azulenol	76	220,183	000089-88-3	C:\Database\W10N11_Full.L	261560
							3	1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)- $$ p-Mentha-1,4-diene $$ 1-ISOPROPYL-4-METHYL-1,4-CYCLOHEXADIENE $$ .gamma.-Terpinen $$ .gamma.-Terpinene $$ .gamma.-Terpinene[1-isopropyl-4-methyl-1,4-cyclohexadiene] $$ 1,4-p-Menthadiene $$ Crithmene	74	136,125	000099-85-4	C:\Database\W10N11_Full.L	48875
16	8,768	1802	2130375	61809	70927	0,046	1	Nonanal $$ n-Nonaldehyde $$ n-Nonanal $$ n-Nonylaldehyde $$ Nonaldehyde $$ Nonanaldehyde $$ Nonanoic aldehyde $$ Nonylaldehyde $$ Nonylic aldehyde $$ Pelargonaldehyde $$ Pelargonic aldehyde $$ 1-Nonanal $$ Aldehyde C-9 $$ NCI-C61018 $$ 1-Nonaldehyde	30	142,136	000124-19-6	C:\Database\W10N11_Full.L	58782
							2	Oxirane, octyl- (CAS) $$ 1,2-Epoxydecane $$ 2-Octyloxirane $$ 2-Octyloxirane (computer-generated name) $$ Decane, 1,2-epoxy- (CAS) $$ 2-OCTYLOXIRANE # $$ 1,2-Decylene oxide $$ 1-Decene epoxide $$ 1-Decene oxide $$ AI3-14198 $$ CCRIS 2615	27	156,151	002404-44-6	C:\Database\W10N11_Full.L	87099
							3	Hex-4-enylamine $$ (4E)-4-Hexen-1-amine #	22	99,105	055108-01-5	C:\Database\W10N11_Full.L	10610
17	9,23	1899	509595	22465	32652	0,032	1	2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)- $$ (4E,6Z)-2,6-Dimethyl-2,4,6-octatriene $$ (4E,6Z)-allo-Ocimene $$ Neo-allo-ocimene $$ (E,Z)-2,6-Dimethylocta-2,4,6-triene $$ 4-trans,6-cis-Allocimene	95	136,125	007216-56-0	C:\Database\W10N11_Full.L	48134
