Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							3	2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6Z)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6Z)-2,6-dimethylocta-2,4,6-triene $$ (4E,6Z)-ALLOCIMENE $$ (4E,6Z)-ALLOOCIMENE $$ (E,Z)-2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ .beta.-OCIMENE $$ .beta.-OCIMENE-X $$ ALLO-OCIMENE	70	136,125	2000048-13-0	C:\Database\W10N11_Full.L	48130
16	9,72	2002	2438190	144063	153619	0,027	1	Cyclopentasiloxane, decamethyl- $$ Decamethylcyclopentasiloxane $$ Dimethylsiloxane pentamer $$ Dekamethylcyklopentasiloxan $$ CD3770 $$ D3770 $$ Decamethylcylopentasiloxane	95	370,094	000541-02-6	C:\Database\W10N11_Full.L	699587
							2	N-(4'-Chlorophenyl)-8-fluoro-3-methyl-isoalloxazine $$ 10-(4-chlorophenyl)-8-fluoranyl-3-methyl-benzo[g]pteridine-2,4-dione $$ 10-(4-chlorophenyl)-8-fluoro-3-methyl-benzo[g]pteridine-2,4-dione	86	356,048	2000669-02-4	C:\Database\W10N11_Full.L	669024
							3	3,4-Dihydroxymandelic acid, ethyl ester, tri-TMS $$ Ethyl (3,4-bis[(trimethylsilyl)oxy]phenyl)[(trimethylsilyl)oxy]acetate #	50	428,187	2000798-12-2	C:\Database\W10N11_Full.L	798122
17	9,858	2031	20922263	1179343	1188941	0,027	1	ETHANONE, 1-(4-HYDROXYPHENYL)- $$ 1-(4-HYDROXY-PHENYL)-ETHANONE $$ 4'-HYDROXYACETOPHENONE $$ 4-ACETOPHENOL $$ 4-ACETYLPHENOL $$ 4-HYDROKSYACETOFENOL $$ 4-hydroxy-acetophenone $$ 4-HYDROXYACETOPHENON $$ 4-HYDROXYPHENYL METHYL KETONE $$ P-ACETYLPHENOL	95	136,052	000099-93-4	C:\Database\W10N11_Full.L	46874
							2	Acetophenone, 2'-hydroxy- $$ Ethanone, 1-(2-hydroxyphenyl)- $$ 1-(2-HYDROXYPHENYL)-ETHANONE $$ 1-hydroxy-2-acetylbenzene $$ 2'-Hydroxyacetophenone $$ 2-Acetylphenol $$ 2-HYDROXY ACETOPHENONE $$ 2-HYDROXYACETOPHENON $$ 2-HYDROXYPHENYL METHYL KETONE	94	136,052	000118-93-4	C:\Database\W10N11_Full.L	46744
18	10,02	2065	1109257	34854	44503	0,045	1	Benzoic acid, ethyl ester $$ Ethyl benzenecarboxylate $$ Ethyl benzoate $$ Benzoic ether $$ Essence of niobe $$ Ethylester kyseliny benzoove	81	150,068	000093-89-0	C:\Database\W10N11_Full.L	71519
							2	Benzoic acid, hydrazide $$ Benzhydrazide $$ Benzohydrazide $$ Benzohydrazine $$ Benzoic hydrazide $$ Benzoyl hydrazide $$ Benzoylhydrazine $$ Hydrazine, benzoyl- $$ NSC 644 $$ Hydrazid kyseliny benzoove $$ Benzenecarboxylic acid hydrazide	64	136,064	000613-94-5	C:\Database\W10N11_Full.L	46616
							3	1-Propanone, 3-hydroxy-1-phenyl- $$ 3-Hydroxy-1-phenylpropan-1-one $$ 3-Hydroxy-1-phenyl-1-propanone #	58	150,068	005650-41-9	C:\Database\W10N11_Full.L	71577
19	10,33	2130	832711	32531	42624	0,036	1	3,7-Octadiene-2,6-diol, 2,6-dimethyl- $$ 1,5-Octadiene-3,7-diol, 3,7-dimethyl- $$ 2,6-Dimethyl-3,7-octadiene-2,6-diol $$ 1,5-Octadien-3,7-diol, 3,7-dimethyl $$ 2,6-Dimethyl-3,7-octadien-2,6-diol $$ 2,6-Dimethylocta-3,7-dien-2,6-diol	59	170,131	013741-21-4	C:\Database\W10N11_Full.L	119393
							2	1,4-Pentadiene, 2-methyl- $$ 2-METHYL-1,4-PENTADIENE $$ 2-METHYL-4-PENTADIENE $$ 2-METHYLPENTA-1,4-DIENE $$ CH2=C(CH3)CH2CH=CH2 $$ BRN 1697214 $$ EINECS 212-109-2	38	82,078	000763-30-4	C:\Database\W10N11_Full.L	3882
							3	Hexanoic acid, 3-hexenyl ester, (Z)- $$ cis-.beta.-Hexenyl Caproate $$ cis-Hexanoic Acid, 3-hexenyl ester $$ cis-3-Hexenyl Caproate $$ cis-3-Hexenyl Hexanoate $$ cis-3-Hexenyl Hexoate $$ n-Caproic acid cis-3-hexenyl ester $$ (3Z)-3-Hexenyl hexanoate	35	198,162	031501-11-8	C:\Database\W10N11_Full.L	194363
